d_mse,d_ae
-0.3208526815309911,-0.10746974679634747
-0.679779474452582,-0.15040185486851954
-0.02363387691924798,-0.047841353247262575
0.6266437426601206,0.3244828399215125
-0.4495441191831133,-0.36645864431238095
0.05031912206825671,0.09298224398176025
-0.026684584748906486,-0.07068781090422505
-0.2045070385577837,-0.31457937864413044
0.20443669644232115,0.1587562255908841
-0.17463799828545384,-0.2257556999961574
-2.892996242216462,-0.26511928080372194
0.6358345293887542,0.2620257619222963
-0.277641326731257,-0.2660623630000867
-1.8491986400165858,-0.40560899329668754
0.0018257111856153398,0.006820297055487146
-0.2759477395599421,-0.26389006602745546
-0.014517126426299116,-0.06651391268579854
-1.46919125125725,-0.430264756686491
-0.7344596710769675,-0.13696054595908702
-0.1376365175762304,-0.06739356894743054
1.1914859855054343,0.3157196719774724
0.13303439350194837,0.22826908872369067
-0.002291316616524243,-0.005203273149300358
0.018084644586554278,0.056909785480179664
-0.013485543603664355,-0.07104158871461053
6.254237539851104e-4,1.2731234107121736e-4
-0.8494454077703564,-0.22961326478340194
-0.9213350681383208,-0.24390168629941478
-0.8691438403025114,-0.13985349380093304
0.005624791269997244,0.02020070288829867
-0.012848631218227692,-0.030782189742980748
0.7381598481947326,0.4965930232579314
-0.112736902098798,-0.0945393406359738
0.3990736984631129,0.14945505069203957
0.021644836484405666,0.08458595731217144
0.6996482630453776,0.47818756582433686
3.692275992111412,0.4716470413081879
-0.5406014147533722,-0.3755108081510148
-0.03004088120894397,-0.14009489877886416
0.07805200110556598,0.05389865981650033
-0.19382170581952887,-0.2637373388087916
0.004032964663900584,0.02861965121100063
0.05160076984170716,0.09499688747918
-0.05308016109397129,-0.0558630310703645
-0.20538063729791306,-0.1629258524928936
0.018084644586554278,0.056909785480179664
-1.943721769134683,-0.42477366246738413
-0.13174425375596857,-0.25281235720057094
0.1985382681755249,0.3601205914173766
0.04564313909703198,0.07410217384492146
-0.5412389024558895,-0.08505861863772246
-0.05524061893967058,-0.02473262694475231
-0.010302102045465066,-0.02713346469495903
0.003374453563219037,0.049514364845258285
-0.012889429304195843,-0.012603077652628691
